Popularity of the first name Oscar,Petroluem consumption in Greece
1411,262.4
1474,254.0
1496,239.0
1386,231.0
1440,232.407
1602,241.674
1584,246.375
1676,266.51
1740,279.456
1975,298.451
2350,314.085
2465,316.342
2605,323.068
2868,332.742
2870,340.485
2748,355.109
3013,367.872
2987,374.355
3017,391.757
3143,383.964
3186,399.64
3201,406.086
3250,408.767
3315,428.996
3361,419.995
3468,423.178
3607,444.234
3556,450.046
3562,429.209
3123,403.615
2670,369.841
2378,350.989
2197,305.951
2242,282.627
2321,283.318
2304,295.474
2259,296.148
2047,303.598
1956,298.655
1889,309.595
1765,251.306
1691,268.701
1879,305.26
